event_id,timestamp,event_type,device,user,source,source_ref,logon_type,source_ip,source_device,action,failure_reason
evt-000027,2026-08-17T08:00:26+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000032,2026-08-17T08:01:45+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000036,2026-08-17T08:02:31+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000040,2026-08-17T08:03:21+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000044,2026-08-17T08:04:02+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000045,2026-08-17T08:04:05+0000,logon,PC02,mrossi,synthetic,,2,10.10.20.16,PC02,success,
evt-000050,2026-08-17T08:06:24+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000063,2026-08-17T08:11:11+0000,logon,DC01,svc_sql,synthetic,,5,10.10.10.30,APP01,success,
evt-000064,2026-08-17T08:11:21+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000076,2026-08-17T08:13:17+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000078,2026-08-17T08:13:40+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000085,2026-08-17T08:14:29+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000087,2026-08-17T08:14:36+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000088,2026-08-17T08:14:36+0000,logon,APP01,svc_sql,synthetic,,5,10.10.10.30,APP01,success,
evt-000090,2026-08-17T08:14:58+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000096,2026-08-17T08:16:54+0000,logon,PC05,klarsen,synthetic,,2,10.10.20.19,PC05,success,
evt-000113,2026-08-17T08:19:09+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000119,2026-08-17T08:20:26+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000123,2026-08-17T08:20:50+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000124,2026-08-17T08:20:54+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000127,2026-08-17T08:21:33+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
