event_id,timestamp,event_type,device,user,source,source_ref,process_name,process_id,process_guid,remote_ip,remote_port,protocol,direction,remote_url
evt-000026,2026-08-17T08:00:19+0000,network,PC03,achen,synthetic,,OUTLOOK.EXE,2021,start:pc03|2021|2026-08-17T08:00:00.000Z,13.107.42.14,443,tcp,outbound,
evt-000030,2026-08-17T08:01:09+0000,network,PC05,klarsen,synthetic,,OneDrive.exe,2033,start:pc05|2033|2026-08-17T08:00:00.000Z,52.113.194.132,443,tcp,outbound,
evt-000031,2026-08-17T08:01:12+0000,network,PC07,adm_sarah,synthetic,,Teams.exe,2042,start:pc07|2042|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000033,2026-08-17T08:01:47+0000,network,PC05,klarsen,synthetic,,OneDrive.exe,2033,start:pc05|2033|2026-08-17T08:00:00.000Z,52.113.194.132,443,tcp,outbound,
evt-000034,2026-08-17T08:01:51+0000,network,PC01,jdoe,synthetic,,chrome.exe,2000,start:pc01|2000|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000035,2026-08-17T08:02:27+0000,network,PC02,mrossi,synthetic,,OUTLOOK.EXE,2011,start:pc02|2011|2026-08-17T08:00:00.000Z,10.10.10.20,443,tcp,outbound,
evt-000037,2026-08-17T08:02:48+0000,network,PC02,mrossi,synthetic,,chrome.exe,2010,start:pc02|2010|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000038,2026-08-17T08:03:01+0000,network,PC07,adm_sarah,synthetic,,OneDrive.exe,2043,start:pc07|2043|2026-08-17T08:00:00.000Z,10.10.10.10,389,tcp,outbound,
evt-000041,2026-08-17T08:03:31+0000,network,PC01,SYSTEM,synthetic,,MsMpEng.exe,2004,start:pc01|2004|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000042,2026-08-17T08:03:32+0000,network,PC02,mrossi,synthetic,,OUTLOOK.EXE,2011,start:pc02|2011|2026-08-17T08:00:00.000Z,40.126.32.76,443,tcp,outbound,
evt-000043,2026-08-17T08:03:44+0000,network,PC05,klarsen,synthetic,,Teams.exe,2032,start:pc05|2032|2026-08-17T08:00:00.000Z,10.10.10.20,443,tcp,outbound,
evt-000046,2026-08-17T08:04:06+0000,network,PC05,klarsen,synthetic,,chrome.exe,2030,start:pc05|2030|2026-08-17T08:00:00.000Z,142.250.185.14,80,tcp,outbound,
evt-000048,2026-08-17T08:05:30+0000,network,PC03,achen,synthetic,,chrome.exe,2020,start:pc03|2020|2026-08-17T08:00:00.000Z,52.113.194.132,443,tcp,outbound,
evt-000052,2026-08-17T08:06:50+0000,network,PC05,klarsen,synthetic,,OneDrive.exe,2033,start:pc05|2033|2026-08-17T08:00:00.000Z,40.126.32.76,443,tcp,outbound,
evt-000056,2026-08-17T08:09:14+0000,network,PC01,jdoe,synthetic,,chrome.exe,2000,start:pc01|2000|2026-08-17T08:00:00.000Z,142.250.185.14,443,tcp,outbound,
evt-000059,2026-08-17T08:10:33+0000,network,PC03,achen,synthetic,,chrome.exe,2020,start:pc03|2020|2026-08-17T08:00:00.000Z,10.10.10.10,445,tcp,outbound,
evt-000060,2026-08-17T08:10:53+0000,network,PC02,mrossi,synthetic,,chrome.exe,2010,start:pc02|2010|2026-08-17T08:00:00.000Z,10.10.10.10,389,tcp,outbound,
evt-000069,2026-08-17T08:12:17+0000,network,PC05,klarsen,synthetic,,chrome.exe,2030,start:pc05|2030|2026-08-17T08:00:00.000Z,20.190.160.14,443,tcp,outbound,
evt-000070,2026-08-17T08:12:19+0000,network,PC03,achen,synthetic,,OUTLOOK.EXE,2021,start:pc03|2021|2026-08-17T08:00:00.000Z,13.107.42.14,443,tcp,outbound,
evt-000071,2026-08-17T08:12:29+0000,network,PC02,mrossi,synthetic,,chrome.exe,2010,start:pc02|2010|2026-08-17T08:00:00.000Z,10.10.10.10,445,tcp,outbound,
evt-000072,2026-08-17T08:12:35+0000,network,PC07,adm_sarah,synthetic,,chrome.exe,2040,start:pc07|2040|2026-08-17T08:00:00.000Z,142.250.185.14,80,tcp,outbound,
evt-000074,2026-08-17T08:13:06+0000,network,PC05,klarsen,synthetic,,chrome.exe,2030,start:pc05|2030|2026-08-17T08:00:00.000Z,40.126.32.76,443,tcp,outbound,
evt-000077,2026-08-17T08:13:26+0000,network,PC07,adm_sarah,synthetic,,chrome.exe,2040,start:pc07|2040|2026-08-17T08:00:00.000Z,10.10.10.10,389,tcp,outbound,
evt-000079,2026-08-17T08:13:46+0000,network,PC03,achen,synthetic,,chrome.exe,2020,start:pc03|2020|2026-08-17T08:00:00.000Z,10.10.10.20,389,tcp,outbound,
evt-000082,2026-08-17T08:14:15+0000,network,PC02,mrossi,synthetic,,OneDrive.exe,2013,start:pc02|2013|2026-08-17T08:00:00.000Z,52.113.194.132,443,tcp,outbound,
evt-000083,2026-08-17T08:14:19+0000,network,PC01,jdoe,synthetic,,chrome.exe,2000,start:pc01|2000|2026-08-17T08:00:00.000Z,52.113.194.132,80,tcp,outbound,
evt-000084,2026-08-17T08:14:19+0000,network,PC05,klarsen,synthetic,,OneDrive.exe,2033,start:pc05|2033|2026-08-17T08:00:00.000Z,52.113.194.132,443,tcp,outbound,
evt-000092,2026-08-17T08:15:09+0000,network,PC03,achen,synthetic,,chrome.exe,2020,start:pc03|2020|2026-08-17T08:00:00.000Z,52.113.194.132,443,tcp,outbound,
evt-000093,2026-08-17T08:15:55+0000,network,PC03,SYSTEM,synthetic,,MsMpEng.exe,2024,start:pc03|2024|2026-08-17T08:00:00.000Z,13.107.42.14,443,tcp,outbound,
evt-000094,2026-08-17T08:16:35+0000,network,PC07,adm_sarah,synthetic,,chrome.exe,2040,start:pc07|2040|2026-08-17T08:00:00.000Z,104.18.32.47,443,tcp,outbound,
evt-000095,2026-08-17T08:16:39+0000,network,PC07,adm_sarah,synthetic,,OneDrive.exe,2043,start:pc07|2043|2026-08-17T08:00:00.000Z,10.10.10.30,443,tcp,outbound,
evt-000098,2026-08-17T08:17:03+0000,network,PC07,adm_sarah,synthetic,,Teams.exe,2042,start:pc07|2042|2026-08-17T08:00:00.000Z,10.10.10.30,389,tcp,outbound,
evt-000100,2026-08-17T08:17:04+0000,network,PC05,klarsen,synthetic,,chrome.exe,2030,start:pc05|2030|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000101,2026-08-17T08:17:12+0000,network,PC07,adm_sarah,synthetic,,chrome.exe,2040,start:pc07|2040|2026-08-17T08:00:00.000Z,40.126.32.76,443,tcp,outbound,
evt-000102,2026-08-17T08:17:42+0000,network,PC07,SYSTEM,synthetic,,MsMpEng.exe,2044,start:pc07|2044|2026-08-17T08:00:00.000Z,10.10.10.20,443,tcp,outbound,
evt-000106,2026-08-17T08:18:34+0000,network,PC05,klarsen,synthetic,,OUTLOOK.EXE,2031,start:pc05|2031|2026-08-17T08:00:00.000Z,142.250.185.14,443,tcp,outbound,
evt-000105,2026-08-17T08:18:34+0000,network,PC05,klarsen,synthetic,,OUTLOOK.EXE,2031,start:pc05|2031|2026-08-17T08:00:00.000Z,10.10.10.20,443,tcp,outbound,
evt-000109,2026-08-17T08:18:55+0000,network,PC02,mrossi,synthetic,,OUTLOOK.EXE,2011,start:pc02|2011|2026-08-17T08:00:00.000Z,40.126.32.76,443,tcp,outbound,
evt-000111,2026-08-17T08:19:03+0000,network,PC03,achen,synthetic,,chrome.exe,2020,start:pc03|2020|2026-08-17T08:00:00.000Z,104.18.32.47,443,tcp,outbound,
evt-000114,2026-08-17T08:19:21+0000,network,PC02,mrossi,synthetic,,chrome.exe,2010,start:pc02|2010|2026-08-17T08:00:00.000Z,10.10.10.10,389,tcp,outbound,
evt-000115,2026-08-17T08:19:32+0000,network,PC03,achen,synthetic,,chrome.exe,2020,start:pc03|2020|2026-08-17T08:00:00.000Z,13.107.42.14,443,tcp,outbound,
evt-000120,2026-08-17T08:20:32+0000,network,PC01,jdoe,synthetic,,chrome.exe,2000,start:pc01|2000|2026-08-17T08:00:00.000Z,52.113.194.132,443,tcp,outbound,
evt-000125,2026-08-17T08:20:57+0000,network,PC05,klarsen,synthetic,,Teams.exe,2032,start:pc05|2032|2026-08-17T08:00:00.000Z,10.10.10.20,443,tcp,outbound,
evt-000128,2026-08-17T08:21:41+0000,network,PC05,klarsen,synthetic,,OneDrive.exe,2033,start:pc05|2033|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000129,2026-08-17T08:21:42+0000,network,PC03,achen,synthetic,,chrome.exe,2020,start:pc03|2020|2026-08-17T08:00:00.000Z,10.10.10.20,445,tcp,outbound,
evt-000132,2026-08-17T08:21:58+0000,network,PC07,SYSTEM,synthetic,,MsMpEng.exe,2044,start:pc07|2044|2026-08-17T08:00:00.000Z,20.190.160.14,443,tcp,outbound,
evt-000134,2026-08-17T08:22:25+0000,network,PC02,mrossi,synthetic,,chrome.exe,2010,start:pc02|2010|2026-08-17T08:00:00.000Z,40.126.32.76,80,tcp,outbound,
evt-000135,2026-08-17T08:22:45+0000,network,PC07,adm_sarah,synthetic,,chrome.exe,2040,start:pc07|2040|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000136,2026-08-17T08:23:00+0000,network,PC05,klarsen,synthetic,,OneDrive.exe,2033,start:pc05|2033|2026-08-17T08:00:00.000Z,142.250.185.14,443,tcp,outbound,
evt-000139,2026-08-17T08:23:46+0000,network,PC07,adm_sarah,synthetic,,OUTLOOK.EXE,2041,start:pc07|2041|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000144,2026-08-17T08:24:24+0000,network,PC02,mrossi,synthetic,,Teams.exe,2012,start:pc02|2012|2026-08-17T08:00:00.000Z,142.250.185.14,443,tcp,outbound,
evt-000146,2026-08-17T08:24:53+0000,network,PC01,jdoe,synthetic,,chrome.exe,2000,start:pc01|2000|2026-08-17T08:00:00.000Z,40.126.32.76,80,tcp,outbound,
evt-000153,2026-08-17T08:26:58+0000,network,PC01,jdoe,synthetic,,chrome.exe,2000,start:pc01|2000|2026-08-17T08:00:00.000Z,52.113.194.132,80,tcp,outbound,
evt-000154,2026-08-17T08:27:11+0000,network,PC02,mrossi,synthetic,,Teams.exe,2012,start:pc02|2012|2026-08-17T08:00:00.000Z,10.10.10.20,443,tcp,outbound,
evt-000156,2026-08-17T08:27:46+0000,network,PC07,adm_sarah,synthetic,,OneDrive.exe,2043,start:pc07|2043|2026-08-17T08:00:00.000Z,142.250.185.78,443,tcp,outbound,
evt-000157,2026-08-17T08:28:15+0000,network,PC01,jdoe,synthetic,,chrome.exe,2000,start:pc01|2000|2026-08-17T08:00:00.000Z,40.126.32.76,443,tcp,outbound,
evt-000159,2026-08-17T08:28:22+0000,network,PC07,adm_sarah,synthetic,,chrome.exe,2040,start:pc07|2040|2026-08-17T08:00:00.000Z,13.107.42.14,80,tcp,outbound,
evt-000162,2026-08-17T08:29:19+0000,network,PC05,klarsen,synthetic,,chrome.exe,2030,start:pc05|2030|2026-08-17T08:00:00.000Z,142.250.185.78,80,tcp,outbound,
evt-000165,2026-08-17T08:30:52+0000,network,PC02,mrossi,synthetic,,OneDrive.exe,2013,start:pc02|2013|2026-08-17T08:00:00.000Z,104.18.32.47,443,tcp,outbound,
evt-000166,2026-08-17T08:32:04+0000,network,PC07,adm_sarah,synthetic,,OneDrive.exe,2043,start:pc07|2043|2026-08-17T08:00:00.000Z,20.190.160.14,443,tcp,outbound,
evt-000168,2026-08-17T08:33:04+0000,network,PC05,SYSTEM,synthetic,,MsMpEng.exe,2034,start:pc05|2034|2026-08-17T08:00:00.000Z,10.10.10.30,389,tcp,outbound,
