event_id,timestamp,event_type,device,user,source,source_ref,process_name,process_id,command_line,parent_process_name,parent_process_id,file_path,sha256,signer,signature_status,process_guid,parent_process_guid
evt-000001,2026-08-17T08:00:00+0000,process,PC01,jdoe,synthetic,,chrome.exe,2000,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",explorer.exe,1180,C:\Program Files\Google\Chrome\Application\chrome.exe,f85020382d7f774d618a37f55785c8e36c16cd1ee4234a075ac597a338246056,Google LLC,signed_valid,start:pc01|2000|2026-08-17T08:00:00.000Z,
evt-000025,2026-08-17T08:00:00+0000,process,PC07,SYSTEM,synthetic,,MsMpEng.exe,2044,"""C:\ProgramData\Microsoft\Windows Defender\Platform\MsMpEng.exe""",services.exe,712,C:\ProgramData\Microsoft\Windows Defender\Platform\MsMpEng.exe,1947b41bee61ee8d8f9f93b8a39538c19c5b031b1d2dc530e487ca3ecea0859b,Microsoft Corporation,signed_valid,start:pc07|2044|2026-08-17T08:00:00.000Z,
evt-000024,2026-08-17T08:00:00+0000,process,PC07,adm_sarah,synthetic,,OneDrive.exe,2043,"""C:\Program Files\Microsoft OneDrive\OneDrive.exe""",explorer.exe,1180,C:\Program Files\Microsoft OneDrive\OneDrive.exe,50e450d19c07060403b81dac6709fbede4289c86258579c33a38f914fc917c0f,Microsoft Corporation,signed_valid,start:pc07|2043|2026-08-17T08:00:00.000Z,
evt-000023,2026-08-17T08:00:00+0000,process,PC07,adm_sarah,synthetic,,Teams.exe,2042,"""C:\Users\adm_sarah\AppData\Local\Microsoft\Teams\current\Teams.exe""",explorer.exe,1180,C:\Users\adm_sarah\AppData\Local\Microsoft\Teams\current\Teams.exe,36a56f9b27c4873d0fae10914a47afce81bf58fe0e29c9cf202c9f4d3d367414,Microsoft Corporation,signed_valid,start:pc07|2042|2026-08-17T08:00:00.000Z,
evt-000022,2026-08-17T08:00:00+0000,process,PC07,adm_sarah,synthetic,,OUTLOOK.EXE,2041,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",explorer.exe,1180,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,77904e5a4280e8f7c92e5bcf8a4c6b9930ceb0b88d415ac3398afbfe15f71d0d,Microsoft Corporation,signed_valid,start:pc07|2041|2026-08-17T08:00:00.000Z,
evt-000021,2026-08-17T08:00:00+0000,process,PC07,adm_sarah,synthetic,,chrome.exe,2040,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",explorer.exe,1180,C:\Program Files\Google\Chrome\Application\chrome.exe,f85020382d7f774d618a37f55785c8e36c16cd1ee4234a075ac597a338246056,Google LLC,signed_valid,start:pc07|2040|2026-08-17T08:00:00.000Z,
evt-000020,2026-08-17T08:00:00+0000,process,PC05,SYSTEM,synthetic,,MsMpEng.exe,2034,"""C:\ProgramData\Microsoft\Windows Defender\Platform\MsMpEng.exe""",services.exe,712,C:\ProgramData\Microsoft\Windows Defender\Platform\MsMpEng.exe,1947b41bee61ee8d8f9f93b8a39538c19c5b031b1d2dc530e487ca3ecea0859b,Microsoft Corporation,signed_valid,start:pc05|2034|2026-08-17T08:00:00.000Z,
evt-000019,2026-08-17T08:00:00+0000,process,PC05,klarsen,synthetic,,OneDrive.exe,2033,"""C:\Program Files\Microsoft OneDrive\OneDrive.exe""",explorer.exe,1180,C:\Program Files\Microsoft OneDrive\OneDrive.exe,50e450d19c07060403b81dac6709fbede4289c86258579c33a38f914fc917c0f,Microsoft Corporation,signed_valid,start:pc05|2033|2026-08-17T08:00:00.000Z,
evt-000018,2026-08-17T08:00:00+0000,process,PC05,klarsen,synthetic,,Teams.exe,2032,"""C:\Users\klarsen\AppData\Local\Microsoft\Teams\current\Teams.exe""",explorer.exe,1180,C:\Users\klarsen\AppData\Local\Microsoft\Teams\current\Teams.exe,36a56f9b27c4873d0fae10914a47afce81bf58fe0e29c9cf202c9f4d3d367414,Microsoft Corporation,signed_valid,start:pc05|2032|2026-08-17T08:00:00.000Z,
evt-000017,2026-08-17T08:00:00+0000,process,PC05,klarsen,synthetic,,OUTLOOK.EXE,2031,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",explorer.exe,1180,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,77904e5a4280e8f7c92e5bcf8a4c6b9930ceb0b88d415ac3398afbfe15f71d0d,Microsoft Corporation,signed_valid,start:pc05|2031|2026-08-17T08:00:00.000Z,
